	stat	logfc	pval	qval	initial_mean	final_mean	initial_mean_ori	final_mean_ori
CDC6	0.5265285446621659	1.452023909033323	0.0	0.0	0.8422883987854173	0.30151848773090245	0.21682729	0.07685802
MTX1	0.25804110773740685	0.13509730342477388	0.0	0.0	0.8089878529406744	0.8893853334260092	0.16969155	0.18683903
LIX1	0.29374607070591174	0.7008610340758397	0.0	0.0	0.3975271550340571	0.24071271424267787	0.0037946927	0.0024952167
MEST	0.20133768459421564	0.20139727597087898	0.0	0.0	0.9186544519806105	0.7976580460799083	0.31008404	0.26690078
TPI1	0.2521148845099441	0.09464731516774333	0.0	0.0	0.9615562180446506	0.8998635241013703	1.1334082	1.0555489
ZCCHC8	0.3907307885334286	0.33299360338972567	0.0	0.0	0.7021297441138478	0.8870159981065614	0.15540002	0.19724321
NRF1	0.20148530819795352	0.3188150192590766	0.0	0.0	0.7329128491305299	0.9166393819427542	0.10081214	0.12769438
HNRNPUL1	0.20384063614585124	0.27162600379727203	0.0	0.0	0.7163158173130253	0.8667849304043577	0.1677715	0.20612873
NEGR1	0.30331367615886573	0.3805846022695055	0.0	0.0	0.6552288242554963	0.8560409745107141	0.077451006	0.10257859
BACE1	0.2295670414672193	0.32133344636150923	0.0	0.0	0.7141474292642531	0.894811265553303	0.05858719	0.074280225
COL11A1	0.19873365742200433	0.3557837749219048	0.0	0.0	0.675018671229905	0.8666051085346905	0.031981774	0.042029466
HNRNPLL	0.18182477005352626	0.14382154974808092	0.0	0.0	0.8011767976698637	0.7242110550614833	0.049937516	0.045012135
PARD3	0.3123266956410259	0.38737072701357533	0.0	0.0	0.6259866304287232	0.8218752328353773	0.04020257	0.053437047
MSANTD2	0.20556291152277217	0.4204132207087835	0.0	0.0	0.6625841434544634	0.8901266382855774	0.040138375	0.054788914
SMC2	0.4432409033650866	0.33509483847034116	0.0	0.0	0.7015774301157169	0.8876267003455732	0.775719	0.9814297
GM13344	0.1782857933909875	1.375004076853421	0.0	0.0	0.07508263219876132	0.21067766930155163	0.00040354845	0.0011476217
TXNDC16	0.1927090184587199	0.2894856400304388	0.0	0.0	0.8582229959665595	0.7003745983851983	0.04398453	0.035298906
GLE1	0.23236258034157442	0.1523159104750293	0.0	0.0	0.819067851202133	0.9113862622417953	0.13367888	0.14986928
BASP1	0.23810261163639623	0.16074651761655484	0.0	0.0	0.8059232006150405	0.9020923346764362	0.26154998	0.2934342
ACSL6	0.21126570443106518	0.4836221470286254	0.0	0.0	0.6382628431237418	0.4536244773722507	0.015074916	0.010844436
CDK7	0.19428234028953073	0.20755568822335946	0.0	0.0	0.793188171900595	0.9174655609220389	0.105713874	0.12287101
CCDC82	0.16237303286213123	0.10616123223976351	0.0	0.0	0.8430497482660083	0.7825317028205432	0.09079657	0.08381988
SP3	0.1704883412404926	0.37913506537046987	0.0	0.0	0.6630526446298052	0.8653466260905919	0.07443606	0.098527685
ARHGEF28	0.31942725798649685	0.48190696688421275	0.0	0.0	0.422877641758283	0.594551923253059	0.0087924665	0.01259832
CTPS	0.17654356887842548	0.10148552019752122	0.0	0.0	0.8946885494723856	0.8332355502803225	0.20799065	0.19242364
HAT1	0.2580397777950312	0.16513670420987736	0.0	0.0	0.9501959544438481	0.8463450082102278	0.66035426	0.58456266
CNGB3	0.26616306582764626	0.4123690176715572	0.0	0.0	0.2731544863596003	0.202759030896048	0.0020962495	0.0015898176
ONECUT3	0.3013945693102942	1.8774841609348811	0.0	0.0	0.1575532327117727	0.6056471313662077	0.00026744098	0.0011917285
RESP18	0.1968238601700686	0.7084661769918802	0.0	0.0	0.7607106957365167	0.461652147162444	0.008503118	0.00505438
